China,2019-11-17,Starting Country,1.0,55,No Trace,No Trace
France,2019-12-27,nan,1.0,43,15 February 2020,80
Nepal,2020-1-13,China,1.0,32,16 May 2020,29
Thailand,2020-1-13,China,1.0,61,1 March 2020,35
Japan,2020-1-16,China,1.0,30+,13 February 2020,80+
South Korea,2020-1-20,China,1.0,35,20 February 2020,63
United States,2020-1-21,China,1.0,35,6 February 2020,57
Taiwan,2020-1-21,China,1.0,50,16 February 2020,61
Singapore,2020-1-23,China,1.0,66,21 March 2020,75 64
Vietnam,2020-1-23,China,1.0,66,No death till 16 May 2020,nan
Australia,2020-1-25,China,4.0,50+ 50+30+ 40+,1 March 2020,78
Malaysia,2020-1-25,China,3.0,65 2 11,17 March 2020,60 34
Canada,2020-1-25,China,1.0,50+,9 March 2020,No Trace
Sri Lanka,2020-1-27,China,1.0,43,28 March 2020,65
Germany,2020-1-27,China,1.0,33,10 March 2020,89 78
Cambodia,2020-1-27,China,1.0,60,No death till 16 May 2020,nan
United Arab Emirates,2020-1-29,China,1.0,73,20 March 2020,78 58
Philippines,2020-1-30,China,1.0,38,1 February 2020,44
India,2020-1-30,China,1.0,No Trace,13 March 2020,76
Italy,2020-1-31,China,2.0,No Trace,22 February 2020,78
United Kingdom,2020-1-31,China,2.0,50  23,5 March 2020,70+
Sweden,2020-1-31,China,1.0,20,11 March 2020,70+
Spain,2020-1-31,Germany,1.0,No Trace,13 February 2020,69
Russia,2020-1-31,Iran,2.0,No Trace,19 March 2020,79
Belgium,2020-2-4,China,1.0,54,11 March 2020,90 73 86
Egypt,2020-2-14,China,1.0,32,8 March 2020,60
Iran,2020-2-19,China,2.0,No Trace,20 February 2020,No Trace
Lebanon,2020-2-21,Iran,1.0,45,10 March 2020,56
Bahrain,2020-2-21,Iran  United Arab Emirates,1.0,No Trace,16 March 2020,65
Israel,2020-2-21,Japan ,1.0,No Trace,18 April 2020,78
Iraq,2020-2-22,Iran,1.0,No Trace,4 March 2020,63
Afghanistan,2020-2-24,Iran,1.0,35,26 February 2020,40
Kuwait,2020-2-24,Iran,3.0,61 53  No Trace,4 April 2020,46
Oman,2020-2-24,Iran,2.0,No Trace,31 March 2020,72
Algeria,2020-2-25,Italy,1.0,Unspecified,12 March 2020,67
Austria,2020-2-25,Italy,2.0,24,12 March 2020,69
Croatia,2020-2-25,Italy,1.0,26,16 May 2020,70
Switzerland,2020-2-25,Italy,1.0,74,5 March 2020,74
Norway,2020-2-26,China,3.0,No Trace,12 March 2020,No Trace
Pakistan,2020-2-26,Iran,2.0,22  No Trace,20 March 2020,77
Georgia,2020-2-26,Iran  Azerbaijan,1.0,No Trace,12 March 2020,67
Brazil,2020-2-26,Italy,1.0,61,10 April 2020,15
North Macedonia,2020-2-26,Italy,1.0,49,22 March 2020,57
Greece,2020-2-26,Italy,1.0,38,12 March 2020,66
Romania,2020-2-26,Italy,1.0,No Trace,22 March 2020,67
Finland,2020-2-26,Italy,1.0,No Trace,20 March 2020,No Trace
Qatar,2020-2-27,Iran,1.0,36,28 March 2020,57
Estonia,2020-2-27,Iran,1.0,No Trace,25 March 2020,83
Nigeria,2020-2-27,Italy,1.0,No Trace,23 March 2020,67
Netherlands,2020-2-27,Italy,1.0,56,06 March 2020,86
San Marino,2020-2-27,Italy,1.0,88,1 March 2020,88
Denmark,2020-2-27,Italy,1.0,No Trace,12 March 2020,No Trace
Azerbaijan,2020-2-28,Iran,1.0,No Trace,12 March 2020,51
Belarus,2020-2-28,Iran,1.0,No Trace,31 March 2020,75
New Zealand,2020-2-28,Iran  Indonesia,1.0,60+,29 March 2020,70+
Mexico,2020-2-28,Italy,3.0,35 59 41,18 March 2020,41
Iceland,2020-2-28,Italy,1.0,40+,24 March 2020,70
Lithuania,2020-2-28,Italy,1.0,39,20 March 2020,83
Luxembourg,2020-2-29,Italy,1.0,40+,13 March 2020,94
Ireland,2020-2-29,Italy,1.0,No Trace,11 March 2020,No Trace
